Smiles,ID
COC(c(cccc1)c1O1)=CC1=O,Amb18511495
COc1cc(OC(C=C2)=O)c2c(OC)c1,Amb18511497
COc(c(OC)c1)cc(C=C2)c1OC2=O,Amb18511502
Oc(c(O)c1)cc(C(c2ccccc2)=C2)c1OC2=O,Amb18511505
COc(c(O)c1)cc(O2)c1C(c1ccccc1)=CC2=O,Amb18511506
CC(c(ccc(OC)c1)c1O1)=CC1=O,Amb18511507
CN(Cc1c2OCOc2ccc1[C@H]1[C@H](C2)O)[C@@H]1c1c2cc2OCOc2c1,Amb18511509
COc1cc2c([C@H]([C@@H](C[C@@H]3CC4)N4C[C@H]3C=C)O)ccnc2cc1,Amb2715018
COc1cc2c([C@@H]([C@@H](C[C@@H]3CC4)N4C[C@@H]3C=C)O)ccnc2cc1,Amb19516132
C=C[C@H]1[C@@H](CC2)C[C@H]([C@@H](c3ccnc4ccccc34)O)N2C1,Amb9703099
C=C[C@@H]1[C@@H](CC2)C[C@@H]([C@@H](c3ccnc4ccccc34)O)N2C1,Amb10843583
CN(C[C@@]1([C@@H]2[C@H]3CO[C@H]4C2)C=C)[C@@H]3[C@H]1[C@]4(c(cccc1)c1N1)C1=O,Amb22800567
CC[C@](CCC1)(C[C@@]2(C(OC)=O)O)[C@@H]3N1CCc1c3n2c2c1cccc2,Amb18511520
CN([C@H](CC1)C2)[C@@H]1C[C@@H]2OC(C(CO)c1ccccc1)=O,Amb17729607
CN([C@H](CC1)C2)[C@@H]1C[C@H]2O,Amb2715576
C[C@@H]1[C@@]2(NC[C@@H](C)CC2)O[C@@H](C2)[C@H]1[C@@](C)(CC1)[C@@H]2[C@H](CC2)[C@H]1[C@@](C)(CC1)[C@@H]2C[C@H]1O,Amb10845340
O=C1N(C[C@H]2CNC[C@@H]3C2)C3=CC=C1,Amb19115426
C(CC1)C[C@@H]2N1C[C@@H]1[C@H](CCCC3)N3C[C@H]2C1,Amb3993424
OC[C@@H]1[C@H](CCCC2)N2CCC1,Amb1048127
CC(C)([C@H]1CO)[C@H]1C=C(C)C,Amb8514829
COc(cc(cc1)C(OC(C(C(O)=C2)=C3)=CC2O)=C3O)c1O,Amb6296645
COc1cc(C(OC(C(C(O)=C2)=C3)=CC2O)=C3O)cc(OC)c1O,Amb6298816
COc(ccc(C(O1)=CC=C(C(O)=C2)C1=CC2O)c1)c1O,Amb6296086
OC1C=C2OC(c(cc3)cc(O)c3O)=CC=C2C(O)=C1,Amb6296670
OC(C=CC1=C2)C=C1OC(c(cc1)cc(O)c1O)=C2O,Amb6600385
OC(C=CC1=C2)C=C1OC(c(cc1O)cc(O)c1O)=C2O,Amb6297234
COc(cc(cc1O)C(OC(C(C(O)=C2)=C3)=CC2O)=C3O)c1O,Amb16192916
COc(cc1)ccc1C(OC(C(C(O)=C1)=C2)=CC1O)=C2O,Amb18511566
O[C@@H](C1)[C@@H](c(cc2)cc(O)c2O)Oc2c1c(O)cc(O)c2,Amb16184168
O[C@H](C1)[C@@H](c(cc2)cc(O)c2O)Oc2c1c(O)cc(O)c2,Amb540975
COc(cc1OC)cc(OC(c2ccccc2)=C2)c1C2=O,Amb18480889
COc(ccc(C(Oc(c1c2O)cc(OC)c2OC)=CC1=O)c1)c1O,Amb18511583
COc(ccc(C(Oc(c1c2OC)cc(OC)c2OC)=CC1=O)c1)c1O,Amb18511584
O=C1c(cccc2)c2OC(c2ccccc2)=C1,Amb18511585
Oc1cccc(OC(c2ccccc2)=C2)c1C2=O,Amb18511587
COc1cccc(OC(c2ccccc2)=C2)c1C2=O,Amb18511588
COc(ccc(C(Oc(cc(cc1O)O)c1C1=O)=C1OC)c1)c1O,Amb18511590
OC1=C(c2ccccc2)Oc(cccc2)c2C1=O,Amb18011492
COc(cc1)ccc1C(Oc(c(OC)c1OC)c2c(OC)c1OC)=CC2=O,Amb18511595
O[C@H]([C@@H](c(cc1O)cc(O)c1O)Oc1c2ccc(O)c1)C2=O,Amb6356985
O=C(C1)c(cccc2)c2OC1c1ccccc1,Amb1232854
COc1cc(C(CC2=O)Oc3c2c(O)cc(O)c3)cc(OC)c1OC,Amb6356987
O=C(/C=C/c1ccccc1)c1ccccc1,Amb6355826
COc1ccc(/C=C/C(c(c(O)cc(OC)c2)c2OC)=O)cc1,Amb2613402
COc(cc1O)cc(OC=C2c(cc3)ccc3O)c1C2=O,Amb18511596
Oc(cc1)ccc1C1=COc(cc(c(O)c2)O)c2C1=O,Amb18511597
Oc(cc1)cc2c1OC(c1ccccc1)=CC2=O,Amb18012850
Oc(cc1)cc(OC(c2ccccc2)=C2)c1C2=O,Amb18511602
COc(cc1)cc2c1OC(c1ccccc1)=CC2=O,Amb18000253
COc(cc1)ccc1C(Oc(cc(cc1O)OC)c1C1=O)=C1OC,Amb18511604
COC1=C(c2ccccc2)Oc(c(occ2)c2cc2)c2C1=O,Amb18511605
COc(cc1O)cc(OC(c(cc2)cc(OC)c2OC)=C2OC)c1C2=O,Amb18511606
COc(cc1)cc(C(C2)=O)c1OC2c1ccccc1,Amb540685
COc1ccc(/C=C/C(c(c(O)cc(OC)c2)c2O)=O)cc1,Amb6356949
COc(c(O)c(c(OC(c(cc1)cc(O)c1O)=C1)c2)C1=O)c2O,Amb18511608
COc1cc(OC(CC2=O)c3ccccc3)c2c(O)c1,Amb2694281
COc(cc(cc1)C(Oc2c3c(O)cc(O)c2)=CC3=O)c1O,Amb18511613
COc1cc(C(Oc2c3c(O)cc(O)c2)=CC3=O)cc(OC)c1OC,Amb18511614
COc(ccc(C(Oc1c2c(O)cc(O)c1)=CC2=O)c1)c1O,Amb18511414
Oc1cc(OC(CC2=O)c(cc3)cc(O)c3O)c2c(O)c1,Amb6354717
Oc(cc1O)cc(OC(c2ccccc2)=C2O)c1C2=O,Amb18511617
COc(ccc(C(CC1=O)Oc2c1c(O)cc(O)c2)c1)c1O,Amb8384522
COc(cc(/C=C/C(c(ccc(O)c1)c1O)=O)cc1)c1O,Amb6356953
COc(cc(C(CC1=O)Oc2c1c(O)cc(O)c2)cc1)c1O,Amb6356991
COc(cc(cc1)C(Oc(cc(cc2O)O)c2C2=O)=C2O)c1O,Amb18511405
COc1ccc(C(CC2=O)Oc3c2c(O)cc(O)c3)cc1,Amb6600403
COc(cc1)ccc1C(Oc(cc(cc1O)O)c1C1=O)=C1O,Amb18511404
Oc(cc1O)cc(OC(c(cc2)cc(O)c2O)=C2)c1C2=O,Amb18511398
Oc1ccc(C(CC2=O)Oc3c2c(O)cc(O)c3)cc1,Amb17618270
COc(cc1)ccc1C(Oc1c2ccc(O)c1)=CC2=O,Amb18511622
Oc(cc1O)cc(OC(c(cc2)cc(O)c2O)=C2O)c1C2=O,Amb18511406
COc(cc1O)cc(OC(c(cc2)cc(O)c2O)=C2O)c1C2=O,Amb18511623
Oc(cc1)cc(OC(c(cc2O)cc(O)c2O)=C2O)c1C2=O,Amb18511408
