epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5860495567321777,0.703825831413269,0.001,0.5989583134651184,0.673730194568634
1,0.600391149520874,0.6738526225090027,0.001,0.5989583134651184,0.6734611392021179
2,0.600391149520874,0.6734229326248169,0.001,0.5989583134651184,0.6647613048553467
3,0.600391149520874,0.6520876884460449,0.001,0.5989583134651184,0.6212936043739319
0,0.7405475974082947,0.5279626250267029,0.001,0.8203125,0.4419200122356415
1,0.8468057513237,0.4212421774864197,0.001,0.8203125,0.44616714119911194
2,0.8780964612960815,0.36429351568222046,0.001,0.828125,0.41281652450561523
3,0.8826597332954407,0.34098976850509644,0.001,0.8463541865348816,0.40698233246803284
4,0.9009126424789429,0.3160860240459442,0.001,0.7760416865348816,0.6751919388771057
5,0.9022164344787598,0.3088245391845703,0.001,0.8489583134651184,0.37641608715057373
6,0.9132985472679138,0.25035762786865234,0.001,0.8671875,0.27615752816200256
7,0.9152542352676392,0.18002943694591522,0.001,0.84375,0.3401557207107544
8,0.9243807196617126,0.1498807817697525,0.001,0.8489583134651184,0.36258193850517273
9,0.9256845116615295,0.13257211446762085,0.001,0.8567708134651184,0.34291842579841614
